zipcode,rating,insertedAtTimestamp,longitude,address,id,latitude,name,review_count,cuisine
10458,3.5,2018-05-02 17:21:49.862644,-73.88894,"2331 Arthur Ave, Bronx, NY 10458",WDVzL34VpkiYOtknS-NpWQ,40.85415,Emilia's Restaurant,138,italian
10018,5.0,2018-05-02 17:22:14.821047,-73.98316,"44TH St And 6th Ave, New York, NY 10018",UtknyDJ_DPut-FKRqs0wpQ,40.75614,Royal Grill Halal Food,147,indian
10014,4.5,2018-05-02 17:22:10.373919,-74.0019588366439,"222 Waverly Pl, New York, NY 10014",j0n_poMVZnODYOFviLbh0Q,40.736002376347,Taim West Village,1403,indian
10306,4.0,2018-05-02 17:20:30.399533,-74.126835,"1825 N Railroad Ave, Staten Island, NY 10306",fsZIYlkhLbZjUpqQtjGeHQ,40.565179,Canlon's Restaurant,46,american
10011,4.0,2018-05-02 17:22:37.974775,-74.00136,"143 8th Ave, New York, NY 10011",pb_cHcy8D8UC-jQ-Q524ug,40.74192,Som Bo,80,korean
10013,4.0,2018-05-02 17:22:55.168430,-74.00391,"311 Church St, New York, NY 10013",U74_3F7r3tMhd6dmTmDBxQ,40.71962,Macao,656,korean
11106,3.5,2018-05-02 17:20:28.938838,-73.92097,"3406 31st Ave, Astoria, NY 11106",C6NvtFvXo86_kEWi3qBYWQ,40.76287,Golden Dragon,67,chinese
11249,4.0,2018-05-02 17:20:29.971973,-73.9600178,"105 N 6th St, Brooklyn, NY 11249",8wMJdpw2R_4VfS55itB_gQ,40.7184736,Sweetwater Restaurant,303,american
10018,3.0,2018-05-02 17:20:29.163236,-73.99217,"520 8th Ave, New York, NY 10018",g_5V15Xp1OvB1QXuGMstYA,40.75365,Chef Yu,481,chinese
10005,3.0,2018-05-02 17:23:06.660154,-74.0068667,"130 Water St, New York, NY 10005",aoYDuvipcT_XGAM5ckFJnA,40.7056344,Cafe Water,67,korean
10002,4.0,2018-05-02 17:23:43.118502,-73.9912294596434,"117 E Houston St, New York, NY 10002",pRS2W9NqdsZ2z11yKrOo5w,40.7235791534185,Sushiya,1,japanese
10022,3.5,2018-05-02 17:21:38.880818,-73.974435582671,"34 E 52nd St, New York, NY 10022",XzkmePjJC0ryuqZp5qd12A,40.758874588912,Fresco By Scotto,228,italian
10025,4.0,2018-05-02 17:24:20.518703,-73.971058,"201 W 95th St, New York, NY 10025",9BzRiWO6PSdR-l3dzCm3VA,40.793571,Buceo 95,377,french
10028,4.0,2018-05-02 17:24:07.028532,-73.95092,"322 E 86th St, New York, NY 10028",ZWPgzW0qqtksyI3GxCPM-Q,40.77722,Little Frog Bistro & Bar,118,french
10014,4.5,2018-05-02 17:24:09.612533,-74.0062103271484,"New York, NY 10014",__2sT9sXXXnKLgcJCjY5JQ,40.7345542907715,Crepe Sucre,36,french
10018,2.5,2018-05-02 17:22:46.276378,-73.99302,"519 8th Ave, New York, NY 10018",Wt306odjwl9oRhN04IMLNw,40.75341,Essen,66,korean
10065,4.0,2018-05-02 17:20:33.173782,-73.9625243,"206 E 67th St, New York, NY 10065",CEOm_NF7EeDZR4ozRZvCSg,40.7661503,Bedford Falls,48,american
10306,4.0,2018-05-02 17:20:28.850506,-74.110448,"366 New Dorp Ln, Staten Island, NY 10306",oXkCGBRjP-qERDlEgPlwxQ,40.570595,Precious Island Dim Sum,77,chinese
11355,4.0,2018-05-02 17:22:46.470047,-73.833222350293,"136-20 Roosevelt Ave, Ste 30, Flushing, NY 11355",1GQhMgBa098ptUEBIuR-pQ,40.7597914756932,Chinese Korean Dumplings and Noodles 中韓面食,42,korean
10019,4.0,2018-05-02 17:20:47.808325,-73.9752098617798,"700 5th Ave, New York, NY 10019",9o4y3IqpFDaj8FddJ6oi2A,40.7616602403771,Clement,111,american
11375,3.5,2018-05-02 17:20:29.682634,-73.85427,"9812 Metropolitan Ave, Forest Hills, NY 11375",CIV1wpkbmpdMPDCl1lNWhQ,40.710773,Wing Wah Restaurant,26,chinese
11222,4.0,2018-05-02 17:20:50.583857,-73.9548224,"29 Norman Ave, Brooklyn, NY 11222",5mCpnWF5W6zJ4esmxg7hsg,40.7246841,Norman,58,american
11221,3.5,2018-05-02 17:21:58.813378,-73.909556,"733 Knickerbocker Ave, Brooklyn, NY 11221",IDEq8v88W58i2QZuNFjl-w,40.694066,Bombay Kitchen,148,indian
11217,3.5,2018-05-02 17:24:01.912245,-73.975917359407,"1 S Elliott Pl, Brooklyn, NY 11217",zBButa4blgIhHru9B2qMrw,40.6896094060701,Café Paulette,126,french
10065,3.5,2018-05-02 17:22:34.566556,-73.96654,"807 Lexington Ave, New York, NY 10065",xSY8MI449l9HvKJKBSlVHA,40.76423,Korean Express,241,korean
11211,2.0,2018-05-02 17:22:18.530145,-73.959037,"135 N 5th St, Brooklyn, NY 11211",8mNN98-kejLAJLR9p7_mvQ,40.717082,Taj Mahal Indian Restaurant,18,indian
11219,4.0,2018-05-02 17:20:29.655076,-73.99939,"1377 65th St, Brooklyn, NY 11219",ifF_11thSAez-EK9K3ezmg,40.62489,China Royal,15,chinese
10013,3.0,2018-05-02 17:22:42.178438,-74.000948898184,"265 Canal St, New York, NY 10013",5WxJpbVulMGpr80XFwiRkQ,40.7189760361914,OPPA New Korean BBQ,20,korean
11201,3.5,2018-05-02 17:23:40.733467,-73.98809,"140 Plymouth St, Brooklyn, NY 11201",1CfowrfIQtEW520wsrO4Zw,40.70375,Ramen Bar,44,japanese
11576,4.5,2018-05-02 17:24:39.819784,-73.6489063,"1355 Old Northern Blvd, Roslyn, NY 11576",tt4CLZz-Az3IimdRtZ2KCA,40.8005303,Yolo Yogurt & Desserts,49,french
10022,4.0,2018-05-02 17:23:55.014035,-73.9688767764436,"153 E 53rd St, New York, NY 10022",mHBhUxHgDGjsB1LJl4qW0w,40.7582412110122,Hillstone Restaurant,953,japanese
10018,3.5,2018-05-02 17:23:51.668502,-73.99532,"462 9th Ave, New York, NY 10018",FJIa0eSaMIcAMba1hVYV3A,40.75444,Sushi Star,51,japanese
10304,4.0,2018-05-02 17:24:29.065125,-74.07334201916,"37 Navy Pier Ct, Staten Island, NY 10304",3rgdWZzPpcxeAMU7PXgoKw,40.6295568794633,Surf,89,french
10003,2.5,2018-05-02 17:22:19.427966,-73.9873733520508,"326 E 6th St, New York, NY 10003",WBJLoLeRSSzRDrzOv5IRng,40.7266693115234,Sonali Indian Restaurant,3,indian
10017,4.0,2018-05-02 17:20:30.337319,-73.9732416,"160 E 46th St, New York, NY 10017",0y6eQXDw2RDLuBwkY02xGA,40.7533599,Aretsky's Patroon Townhouse,189,american
10021,4.0,2018-05-02 17:21:42.672733,-73.9629447443084,"1000 Madison Ave, New York, NY 10021",DCiEo7qucPaEj7Gtdj1U9A,40.7752929376282,Sant Ambroeus,319,italian
10028,4.0,2018-05-02 17:21:34.011950,-73.95587,"205 E 81st St, New York, NY 10028",m4MPLIv-WsGdcB7GReE06Q,40.77552,Quattro Gatti Restaurant,72,italian
11211,4.5,2018-05-02 17:20:29.053482,-73.9587070047855,"108 Lee Ave, New York, NY 11211",A_e9adJ7v_U7trur2JMrgA,40.7044641162683,Grill On Lee,11,chinese
10014,4.0,2018-05-02 17:21:06.376241,-74.00847,"649 Washington St, New York, NY 10014",IErfGS0DASSJfYU73m0Sqg,40.73285,Malatesta Trattoria,1099,italian
10013,3.5,2018-05-02 17:22:07.272368,-74.0071884,"190 Church St, New York, NY 10013",S3dtt6qNyYfdF-I4rZTbXw,40.7159379,Graffitti Earth,11,indian
11211,4.0,2018-05-02 17:20:29.943687,-73.959017,"112 Berry St, Brooklyn, NY 11211",AVlPC5AQX_qQMEf02H-wug,40.718925,Juniper,476,american
10018,3.5,2018-05-02 17:23:23.429330,-73.9894882380981,"231 W 40th St, New York Times Bldg, New York, NY 10018",auqBQYuADVdWaTO-RNBeoA,40.7560432774284,Inakaya,470,japanese
10016,4.0,2018-05-02 17:21:15.448970,-73.98494,"11 E 31st St, New York, NY 10016",Zz-1pzGqrgParLQ_LzY0lw,40.74635,Massoni,171,italian
10013,3.5,2018-05-02 17:21:21.179724,-74.0060071866319,"114 Franklin St, New York, NY 10013",hhqUkocxtcnILE4hKFCoPg,40.7186352360374,Tutto il Giorno,66,italian
10017,3.5,2018-05-02 17:20:51.776036,-73.9730946,"150 E 47th St, New York, NY 10017",mp7YQdBWIHqmJoZlr-K32g,40.7541938,Blackwells Pub And Restaurant,74,american
10025,4.5,2018-05-02 17:21:36.990202,-73.96766,"2750 Broadway, New York, NY 10025",m3PS0tIaa0ChcP8Y5S-DrQ,40.80084,MAMA'S TOO!,42,italian
